topic,Unique_Column,playlist_id,channel_id,video_id,video_link,video_title,username,user_id,Comment,length,Sum
NLP sentiment analysis,https://www.youtube.com/playlist?list=PLZoTAELRMXVMdJ5sqbCK2LiM0HhQVWNzm,PLZoTAELRMXVMdJ5sqbCK2LiM0HhQVWNzm,UCNU_lfiiWBdtULKOw6X0Dig,6EXP2-d_xQA,https://www.youtube.com/watch?v=6EXP2-d_xQA,Tutorial 31- Back Propagation In Recurrent Neural Network,Rahul Dey,UCM9M5N5Z0qst1qAUMu0BfTw,the gradient dLdwdLdO/=(/4) d Od w ( 4 / ),6,83.33333333
Linear Regression,https://www.youtube.com/watch?v=sehhMZj3B7U,(Blank),UCFUTIAx5h703U3gEcM1157Q,sehhMZj3B7U,https://www.youtube.com/watch?v=sehhMZj3B7U,Regression Analysis (Linear),VARUNN AGARWAL,UCoPnVZkrzmzIxDhBuxIqP_w,"Thanks a lot, sir, but shdnt' the yield be kg69.4 instead of 6940?",12,91.66666667
dashboard creation in tableau,https://www.youtube.com/watch?v=aHaOIvR00So,(Blank),UCkw4JCwteGrDHIsyIIKo4tQ,aHaOIvR00So,https://www.youtube.com/watch?v=aHaOIvR00So,Tableau Full Course - Learn Tableau in 6 Hours | Tableau Training for Beginners | Edureka,LALITHA M,UC3Dkw2LcL42pnM6-h8FuO-w,"Hey Edureka! Thank you for this, your material has been immensely helpful :) Would you mind sharing all the datasets you have used in this tutorial for practice?",27,92.59259259
NLP sentiment analysis,https://www.youtube.com/playlist?list=PLZoTAELRMXVMdJ5sqbCK2LiM0HhQVWNzm,PLZoTAELRMXVMdJ5sqbCK2LiM0HhQVWNzm,UCNU_lfiiWBdtULKOw6X0Dig,pO_6Jk0QtKw,https://www.youtube.com/watch?v=pO_6Jk0QtKw,Word Embedding - Natural  Language Processing| Deep Learning,Puru Frozen,UCZD99VYpT7T7UL8azliTwFw,Using Keras Embedding can I embed word form any language?,10,90.0
Linear Algebra,https://www.youtube.com/playlist?list=PLU6SqdYcYsfJOGZdxUpDk3w9o-w94-RoG,PLU6SqdYcYsfJOGZdxUpDk3w9o-w94-RoG,UC_4NoVAkQzeSaxCgm-to25A,ZOHMCsdDti0,https://www.youtube.com/watch?v=ZOHMCsdDti0,Cayley Hamilton Theorem | Short Trick to Find Inverse of Matrices,Shalu,UCbbrYwBTEbU3ceyuNHAsIlA,Thank you sir ese hi videos b nate rhiye🙏🙏🙏,9,77.77777778
exploratory data analysis,https://www.youtube.com/playlist?list=PLZoTAELRMXVPQyArDHyQVjQxjj_YmEuO9,PLZoTAELRMXVPQyArDHyQVjQxjj_YmEuO9,UCNU_lfiiWBdtULKOw6X0Dig,wR4Xfwjr-3Y,https://www.youtube.com/watch?v=wR4Xfwjr-3Y,Advance House Price Prediction- Exploratory Data Analysis- Part 2,Santhosh Fabre,UChM7Dbe-8itkrASRWhBPgAA,"Krish will you be posting next up from Model selection, evaluation and till deployment?",14,92.85714286
dashboard creation in tableau,https://www.youtube.com/playlist?list=PLge_oNJswtYsOJlAvE1afXtmoJo27lbsm,PLge_oNJswtYsOJlAvE1afXtmoJo27lbsm,UCHJD0IKl11zBePmaabxh-OA,avOtyK-wfOg,https://www.youtube.com/watch?v=avOtyK-wfOg,Restaurant App  in MVC C# Part 1,Nitish mishra,UCE8SCaiQQav44Tu2gNwzfQg,can you please provide us the code in files please,10,100.0
classification in machine learning,https://www.youtube.com/playlist?list=PLblh5JKOoLUICTaGLRoHQDuF_7q2GfuJF,PLblh5JKOoLUICTaGLRoHQDuF_7q2GfuJF,UCtYLUTtgS3k1Fg4y5tAhLbw,EuBBz3bI-aA,https://www.youtube.com/watch?v=EuBBz3bI-aA,Machine Learning Fundamentals: Bias and Variance,C,UC8LGQv3Mis8OwQKEe9SnjwA,Great video. So much clearer explanation.,6,100.0
classification in machine learning,https://www.youtube.com/playlist?list=PLblh5JKOoLUICTaGLRoHQDuF_7q2GfuJF,PLblh5JKOoLUICTaGLRoHQDuF_7q2GfuJF,UCtYLUTtgS3k1Fg4y5tAhLbw,YtebGVx-Fxw,https://www.youtube.com/watch?v=YtebGVx-Fxw,Entropy (for data science) Clearly Explained!!!,C,UC8LGQv3Mis8OwQKEe9SnjwA,"If we had to come up with another measure for surprise that still relates to probability, would it still be expressed in this formulation? Just wondering how much of it is design.",32,100.0
classification in machine learning,https://www.youtube.com/watch?v=4dwsSz_fNSQ,(Blank),UCJihyK0A38SZ6SdJirEdIOw,4dwsSz_fNSQ,https://www.youtube.com/watch?v=4dwsSz_fNSQ,"Supervised, Unsupervised and Reinforcement Learning in Artificial Intelligence in Hindi",Krunal Sheth,UCqKfg8Br77B1rsa5MgtXmuQ,explained perfectly,2,100.0
